model_retain_mcc,model_forget_mcc,gold_kl_retain,gold_kl_forget,gold_agree_retain,gold_agree_forget,epoch,train_loss
0.672478722749237,0.0,0.021688932552933693,0.048788804560899734,0.783,0.286,0.0,
0.7764816605208549,0.0,0.16299685835838318,0.3260928690433502,0.877,0.61,0.1,1.198998212814331
0.8693656451468466,0.0,0.09264736622571945,0.18340760469436646,0.948,0.847,0.2,0.7307678461074829
0.8847575470119208,0.0,0.0807173028588295,0.15198633074760437,0.963,0.866,0.3,0.8528344631195068
0.8683908638528971,0.0,0.11492924392223358,0.21248705685138702,0.9465,0.834,0.4,0.5787989497184753
0.8790742849157457,0.0,0.09839915484189987,0.19117839634418488,0.96,0.867,0.5,0.7033900618553162
0.8801126616314948,0.0,0.10370288044214249,0.20144549012184143,0.9575,0.829,0.6,0.740038275718689
0.8578187052523518,0.0,0.12136546522378922,0.25123536586761475,0.935,0.766,0.7,0.6524004936218262
0.8764781932703107,0.0,0.07425227016210556,0.15747161209583282,0.958,0.842,0.8,0.43172526359558105
0.8770530633155444,0.0,0.09052680432796478,0.18377618491649628,0.959,0.86,0.9,0.6330767869949341
0.8915462394087195,0.0,0.08899575471878052,0.18544332683086395,0.968,0.877,1.0,0.7321040034294128
